-0.27503328,-0.01430114,-0.36652160,0.23548411,0.25160955,4.71082713,1.09474942,0.81647895,-1.71636770,-0.45352659
0.82823291,0.60168676,0.63102988,-0.93737370,-0.68839810,-0.91245937,0.10494361,0.40751492,-0.24076890,1.27851324
-1.46158489,-1.33476640,-0.63998566,0.07103684,-2.54518239,0.06303674,-0.70860541,-1.23166057,3.09270184,-0.17035052
-0.49384387,-0.69168518,-2.74951899,0.79333895,0.50928947,1.13035026,-0.68558728,3.00254487,0.30642556,1.00201579
1.94799426,0.13424753,0.94596508,-1.33492662,-0.33180865,-0.65052228,0.94707927,-0.03230202,-0.75447139,1.20526435
1.41067811,-2.18163290,1.59383484,-1.19559798,-2.33476789,-0.08404453,0.67578947,-0.53530140,1.51905070,-1.06478750
-0.03042030,1.39072067,-0.81497993,-0.24797078,0.13750871,4.10366962,2.64140918,-1.46737038,-1.94820689,0.73776468
1.60920896,-0.68080486,0.38894029,-2.33060056,-3.12026542,0.73977313,1.50128870,0.76656794,-0.76780357,-0.00134531
-0.48175922,1.09585744,0.33330246,0.09850889,-1.16512363,1.02138285,-0.30457087,-2.19504555,-0.40415646,-0.11590131
0.81152244,-1.03345787,-0.95573881,0.52242165,-1.56626275,-0.89555714,-0.06413994,1.43158075,0.81976108,-0.33096049
1.22786342,-1.51600097,0.37834968,0.46749149,0.13605661,2.67663563,0.35903175,-1.46041089,0.12429210,-1.75620685
1.40838990,-0.42169285,-0.39125005,-1.16048930,-1.27080586,-0.57178589,-2.14544395,1.07221144,-1.05349150,0.90927353
1.04230187,-0.15940800,-0.99782897,-0.98947713,-3.51626883,1.72235141,1.43176570,3.17970364,-1.65845884,-0.28711653
-0.88721689,-1.15812057,0.04517979,0.18285400,-0.12650051,-0.02897558,-1.37369339,-0.02963603,0.66593796,-1.17172188
0.43416833,-1.78760856,1.11318719,-1.00431574,3.99282703,-0.49605852,-0.44901419,-0.34862161,0.27656582,1.56656158
